timestamp,date,time,timestamp_15min,wind_forecast_mw,solar_forecast_mw,portfolio_forecast_mw,wind_actual_mw,solar_actual_mw,portfolio_actual_mw,da_price_eur_mwh,id3_price_eur_mwh,imbalance_price_eur_mwh,wind_forecast_mwh,solar_forecast_mwh,portfolio_forecast_mwh,wind_actual_mwh,solar_actual_mwh,portfolio_actual_mwh,wind_error_mwh,solar_error_mwh,portfolio_error_mwh,wind_abs_error_mwh,solar_abs_error_mwh,portfolio_abs_error_mwh,wind_da_revenue_eur,solar_da_revenue_eur,portfolio_da_revenue_eur
2026-06-22 00:00:00,2026-06-22,00:00,2026-06-22 00:00:00,891.0,0.0,891.0,1169.350036,25.82,1195.170036,137.79,151.78,69.19,74.25,0.0,74.25,97.44583633333332,2.1516666666666664,99.597503,23.19583633333332,2.1516666666666664,25.347503000000003,23.19583633333332,2.1516666666666664,25.347503000000003,10230.9075,0.0,10230.9075
2026-06-22 00:05:00,2026-06-22,00:05,2026-06-22 00:00:00,894.0,0.0,894.0,1194.579956,25.82,1220.399956,137.79,151.78,69.19,74.5,0.0,74.5,99.54832966666666,2.1516666666666664,101.69999633333332,25.04832966666666,2.1516666666666664,27.19999633333332,25.04832966666666,2.1516666666666664,27.19999633333332,10265.355,0.0,10265.355
2026-06-22 00:10:00,2026-06-22,00:10,2026-06-22 00:00:00,898.0,0.0,898.0,1201.619995,25.82,1227.439995,137.79,151.78,69.19,74.83333333333333,0.0,74.83333333333333,100.13499958333333,2.1516666666666664,102.28666625,25.30166625,2.1516666666666664,27.453332916666668,25.30166625,2.1516666666666664,27.453332916666668,10311.284999999998,0.0,10311.284999999998
2026-06-22 00:15:00,2026-06-22,00:15,2026-06-22 00:15:00,901.0,0.0,901.0,1226.9400030000002,25.82,1252.760003,129.09,149.67,76.35,75.08333333333333,0.0,75.08333333333333,102.24500025,2.1516666666666664,104.39666691666667,27.161666916666675,2.1516666666666664,29.313333583333343,27.161666916666675,2.1516666666666664,29.313333583333343,9692.5075,0.0,9692.5075
2026-06-22 00:20:00,2026-06-22,00:20,2026-06-22 00:15:00,908.0,0.0,908.0,1262.109985,25.82,1287.929985,129.09,149.67,76.35,75.66666666666666,0.0,75.66666666666666,105.17583208333332,2.1516666666666664,107.32749875,29.50916541666666,2.1516666666666664,31.660832083333347,29.50916541666666,2.1516666666666664,31.660832083333347,9767.81,0.0,9767.81
2026-06-22 00:25:00,2026-06-22,00:25,2026-06-22 00:15:00,915.0,0.0,915.0,1309.299988,25.82,1335.119988,129.09,149.67,76.35,76.25,0.0,76.25,109.10833233333332,2.1516666666666664,111.259999,32.85833233333332,2.1516666666666664,35.00999899999999,32.85833233333332,2.1516666666666664,35.00999899999999,9843.112500000001,0.0,9843.112500000001
2026-06-22 00:30:00,2026-06-22,00:30,2026-06-22 00:30:00,923.0,0.0,923.0,1337.780029,25.82,1363.600029,124.1,146.21,49.29,76.91666666666666,0.0,76.91666666666666,111.48166908333332,2.1516666666666664,113.63333575,34.56500241666666,2.1516666666666664,36.71666908333334,34.56500241666666,2.1516666666666664,36.71666908333334,9545.358333333332,0.0,9545.358333333332
2026-06-22 00:35:00,2026-06-22,00:35,2026-06-22 00:30:00,931.0,0.0,931.0,1366.820008,25.82,1392.640008,124.1,146.21,49.29,77.58333333333333,0.0,77.58333333333333,113.90166733333332,2.1516666666666664,116.053334,36.31833399999999,2.1516666666666664,38.47000066666668,36.31833399999999,2.1516666666666664,38.47000066666668,9628.091666666665,0.0,9628.091666666665
2026-06-22 00:40:00,2026-06-22,00:40,2026-06-22 00:30:00,936.0,0.0,936.0,1365.75,25.82,1391.57,124.1,146.21,49.29,78.0,0.0,78.0,113.8125,2.1516666666666664,115.96416666666666,35.8125,2.1516666666666664,37.96416666666666,35.8125,2.1516666666666664,37.96416666666666,9679.8,0.0,9679.8
2026-06-22 00:45:00,2026-06-22,00:45,2026-06-22 00:45:00,944.0,0.0,944.0,1373.6900019999998,25.82,1399.5100019999998,121.37,134.83,4.14,78.66666666666666,0.0,78.66666666666666,114.47416683333331,2.1516666666666664,116.62583349999996,35.80750016666666,2.1516666666666664,37.9591668333333,35.80750016666666,2.1516666666666664,37.9591668333333,9547.773333333333,0.0,9547.773333333333
2026-06-22 00:50:00,2026-06-22,00:50,2026-06-22 00:45:00,950.0,0.0,950.0,1398.009949,25.82,1423.829949,121.37,134.83,4.14,79.16666666666666,0.0,79.16666666666666,116.50082908333331,2.1516666666666664,118.65249575,37.33416241666666,2.1516666666666664,39.48582908333334,37.33416241666666,2.1516666666666664,39.48582908333334,9608.458333333332,0.0,9608.458333333332
2026-06-22 00:55:00,2026-06-22,00:55,2026-06-22 00:45:00,955.0,0.0,955.0,1408.98999,25.82,1434.80999,121.37,134.83,4.14,79.58333333333333,0.0,79.58333333333333,117.4158325,2.1516666666666664,119.56749916666666,37.832499166666665,2.1516666666666664,39.984165833333336,37.832499166666665,2.1516666666666664,39.984165833333336,9659.029166666667,0.0,9659.029166666667
2026-06-22 01:00:00,2026-06-22,01:00,2026-06-22 01:00:00,958.0,0.0,958.0,1404.659973,25.82,1430.479973,122.67,145.91,46.15,79.83333333333333,0.0,79.83333333333333,117.05499775,2.1516666666666664,119.20666441666664,37.22166441666667,2.1516666666666664,39.37333108333331,37.22166441666667,2.1516666666666664,39.37333108333331,9793.154999999999,0.0,9793.154999999999
