timestamp,date,time,timestamp_15min,wind_forecast_mw,solar_forecast_mw,portfolio_forecast_mw,wind_actual_mw,solar_actual_mw,portfolio_actual_mw,da_price_eur_mwh,id3_price_eur_mwh,imbalance_price_eur_mwh,wind_forecast_mwh,solar_forecast_mwh,portfolio_forecast_mwh,wind_actual_mwh,solar_actual_mwh,portfolio_actual_mwh,wind_error_mwh,solar_error_mwh,portfolio_error_mwh,wind_abs_error_mwh,solar_abs_error_mwh,portfolio_abs_error_mwh,wind_da_revenue_eur,solar_da_revenue_eur,portfolio_da_revenue_eur,id3_price_column_used,id3_price_used_eur_mwh,wind_id_correction_value_eur,wind_id_corrected_pnl_eur,solar_id_correction_value_eur,solar_id_corrected_pnl_eur,portfolio_id_correction_value_eur,portfolio_id_corrected_pnl_eur,wind_imbalance_settlement_value_eur,wind_no_correction_pnl_eur,solar_imbalance_settlement_value_eur,solar_no_correction_pnl_eur,portfolio_imbalance_settlement_value_eur,portfolio_no_correction_pnl_eur
2026-06-22 00:00:00,2026-06-22,00:00,2026-06-22 00:00:00,891.0,0.0,891.0,1169.350036,25.82,1195.170036,137.79,151.78,69.19,74.25,0.0,74.25,97.44583633333332,2.1516666666666664,99.597503,23.19583633333332,2.1516666666666664,25.347503000000003,23.19583633333332,2.1516666666666664,25.347503000000003,10230.9075,0.0,10230.9075,id3_price_eur_mwh,151.78,3520.664038673332,13751.571538673332,326.5799666666666,326.5799666666666,3847.244005340001,14078.15150534,1604.9199159033324,11835.827415903332,148.87381666666664,148.87381666666664,1753.7937325700002,11984.70123257
2026-06-22 00:05:00,2026-06-22,00:05,2026-06-22 00:00:00,894.0,0.0,894.0,1194.579956,25.82,1220.399956,137.79,151.78,69.19,74.5,0.0,74.5,99.54832966666666,2.1516666666666664,101.69999633333332,25.04832966666666,2.1516666666666664,27.19999633333332,25.04832966666666,2.1516666666666664,27.19999633333332,10265.355,0.0,10265.355,id3_price_eur_mwh,151.78,3801.8354768066656,14067.190476806663,326.5799666666666,326.5799666666666,4128.415443473332,14393.770443473331,1733.0939296366662,11998.448929636666,148.87381666666664,148.87381666666664,1881.9677463033324,12147.322746303333
2026-06-22 00:10:00,2026-06-22,00:10,2026-06-22 00:00:00,898.0,0.0,898.0,1201.619995,25.82,1227.439995,137.79,151.78,69.19,74.83333333333333,0.0,74.83333333333333,100.13499958333333,2.1516666666666664,102.28666625,25.30166625,2.1516666666666664,27.453332916666668,25.30166625,2.1516666666666664,27.453332916666668,10311.284999999998,0.0,10311.284999999998,id3_price_eur_mwh,151.78,3840.286903425,14151.571903424998,326.5799666666666,326.5799666666666,4166.866870091667,14478.151870091664,1750.6222878375,12061.907287837497,148.87381666666664,148.87381666666664,1899.4961045041666,12210.781104504165
2026-06-22 00:15:00,2026-06-22,00:15,2026-06-22 00:15:00,901.0,0.0,901.0,1226.9400030000002,25.82,1252.760003,129.09,149.67,76.35,75.08333333333333,0.0,75.08333333333333,102.24500025,2.1516666666666664,104.39666691666667,27.161666916666675,2.1516666666666664,29.313333583333343,27.161666916666675,2.1516666666666664,29.313333583333343,9692.5075,0.0,9692.5075,id3_price_eur_mwh,149.67,4065.286687417501,13757.7941874175,322.0399499999999,322.0399499999999,4387.326637417501,14079.8341374175,2073.7932690875004,11766.3007690875,164.27974999999998,164.27974999999998,2238.0730190875006,11930.5805190875
2026-06-22 00:20:00,2026-06-22,00:20,2026-06-22 00:15:00,908.0,0.0,908.0,1262.109985,25.82,1287.929985,129.09,149.67,76.35,75.66666666666666,0.0,75.66666666666666,105.17583208333332,2.1516666666666664,107.32749875,29.50916541666666,2.1516666666666664,31.660832083333347,29.50916541666666,2.1516666666666664,31.660832083333347,9767.81,0.0,9767.81,id3_price_eur_mwh,149.67,4416.636787912499,14184.4467879125,322.0399499999999,322.0399499999999,4738.676737912501,14506.4867379125,2253.0247795624996,12020.8347795625,164.27974999999998,164.27974999999998,2417.3045295625006,12185.1145295625
2026-06-22 00:25:00,2026-06-22,00:25,2026-06-22 00:15:00,915.0,0.0,915.0,1309.299988,25.82,1335.119988,129.09,149.67,76.35,76.25,0.0,76.25,109.10833233333332,2.1516666666666664,111.259999,32.85833233333332,2.1516666666666664,35.00999899999999,32.85833233333332,2.1516666666666664,35.00999899999999,9843.1125,0.0,9843.1125,id3_price_eur_mwh,149.67,4917.906600329998,14761.019100329995,322.0399499999999,322.0399499999999,5239.946550329999,15083.059050329995,2508.733673649999,12351.84617365,164.27974999999998,164.27974999999998,2673.0134236499994,12516.12592365
2026-06-22 00:30:00,2026-06-22,00:30,2026-06-22 00:30:00,923.0,0.0,923.0,1337.780029,25.82,1363.600029,124.1,146.21,49.29,76.91666666666666,0.0,76.91666666666666,111.48166908333332,2.1516666666666664,113.63333575,34.56500241666666,2.1516666666666664,36.71666908333334,34.56500241666666,2.1516666666666664,36.71666908333334,9545.358333333332,0.0,9545.358333333332,id3_price_eur_mwh,146.21,5053.749003340832,14599.107336674164,314.5951833333333,314.5951833333333,5368.344186674169,14913.7025200075,1703.7089691174995,11249.06730245083,106.05564999999999,106.05564999999999,1809.7646191175004,11355.122952450833
2026-06-22 00:35:00,2026-06-22,00:35,2026-06-22 00:30:00,931.0,0.0,931.0,1366.820008,25.82,1392.640008,124.1,146.21,49.29,77.58333333333333,0.0,77.58333333333333,113.90166733333332,2.1516666666666664,116.053334,36.31833399999999,2.1516666666666664,38.47000066666668,36.31833399999999,2.1516666666666664,38.47000066666668,9628.091666666664,0.0,9628.091666666664,id3_price_eur_mwh,146.21,5310.103614139999,14938.195280806664,314.5951833333333,314.5951833333333,5624.698797473336,15252.790464139998,1790.1306828599995,11418.222349526663,106.05564999999999,106.05564999999999,1896.1863328600004,11524.277999526665
2026-06-22 00:40:00,2026-06-22,00:40,2026-06-22 00:30:00,936.0,0.0,936.0,1365.75,25.82,1391.57,124.1,146.21,49.29,78.0,0.0,78.0,113.8125,2.1516666666666664,115.96416666666666,35.8125,2.1516666666666664,37.96416666666666,35.8125,2.1516666666666664,37.96416666666666,9679.8,0.0,9679.8,id3_price_eur_mwh,146.21,5236.145625,14915.945625,314.5951833333333,314.5951833333333,5550.740808333332,15230.540808333331,1765.198125,11444.998124999998,106.05564999999999,106.05564999999999,1871.2537749999995,11551.053774999998
2026-06-22 00:45:00,2026-06-22,00:45,2026-06-22 00:45:00,944.0,0.0,944.0,1373.6900019999998,25.82,1399.5100019999998,121.37,134.83,4.14,78.66666666666666,0.0,78.66666666666666,114.47416683333331,2.1516666666666664,116.62583349999996,35.80750016666666,2.1516666666666664,37.9591668333333,35.80750016666666,2.1516666666666664,37.9591668333333,9547.773333333333,0.0,9547.773333333333,id3_price_eur_mwh,134.83,4827.925247471666,14375.698580804998,290.10921666666667,290.10921666666667,5118.034464138329,14665.807797471662,148.24305068999993,9696.016384023333,8.907899999999998,8.907899999999998,157.15095068999986,9704.924284023333
